Altium Designer Pick and Place Locations
N:\Kunder\GomSpace\Projects\P60-ACU210\Project Outputs for ax600\Pick Place for p60-acu210.csv

========================================================================================================================
File Design Information:

Date:       02-03-17
Time:       15:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R89_b2","100","BottomLayer","RESC0402(1005)_N","44.750","31.000","90","RES SMD 100 OHM 1% 1/16W 0402"
"U8_b2","LTC1601","BottomLayer","SOT-23-5","41.000","30.000","90","High-Side Current Sens Amplifier"
"R20_b2","Res3","BottomLayer","0402","45.000","33.000","180","Resistor"
"D5_b2","D Zener 39V","BottomLayer","D0603","46.250","31.000","90","Zener Diode"
"C25_b2","Cap Semi","BottomLayer","0402","43.500","31.000","90","Capacitor (Semiconductor SIM Model)"
"R8_b2","Res3","BottomLayer","0603","42.250","33.000","360","Resistor"
"U34_GC2","SN74LVC2G14","BottomLayer","SC-70-6","50.250","23.500","360","Dual Schmitt-Trigger Inverter 1.65V - 5.5V"
"U34_GC1","SN74LVC2G14","BottomLayer","SC-70-6","50.250","16.500","360","Dual Schmitt-Trigger Inverter 1.65V - 5.5V"
"U33_GC2","LT3062MP","BottomLayer","DFN8-2x3","59.300","24.500","360","45V VIN, Micropower,  Low Noise, 200mA LDO"
"U33_GC1","LT3062MP","BottomLayer","DFN8-2x3","59.250","15.750","360","45V VIN, Micropower,  Low Noise, 200mA LDO"
"U32_GC2","MSS1P6","TopLayer","MICROSMP","50.913","37.237","180","Surface Mount Schottky Barrier Rectifiers, 1A 60V."
"U32_GC1","MSS1P6","TopLayer","MICROSMP","50.912","2.763","180","Surface Mount Schottky Barrier Rectifiers, 1A 60V."
"U31_GC2","MSS1P6","TopLayer","MICROSMP","54.263","35.988","270","Surface Mount Schottky Barrier Rectifiers, 1A 60V."
"U31_GC1","MSS1P6","TopLayer","MICROSMP","52.237","5.763","90","Surface Mount Schottky Barrier Rectifiers, 1A 60V."
"U30_GC2","MSS1P6","TopLayer","MICROSMP","52.263","34.238","270","Surface Mount Schottky Barrier Rectifiers, 1A 60V."
"U30_GC1","MSS1P6","TopLayer","MICROSMP","54.237","4.013","90","Surface Mount Schottky Barrier Rectifiers, 1A 60V."
"U29_GC2","LT3062MP","BottomLayer","DFN8-2x3","58.400","29.400","360","45V VIN, Micropower,  Low Noise, 200mA LDO"
"U29_GC1","LT3062MP","BottomLayer","DFN8-2x3","58.400","10.700","360","45V VIN, Micropower,  Low Noise, 200mA LDO"
"U27_Buck_Boost2","SN74AHC1G02","BottomLayer","SC-70-5","22.150","28.150","180","Single 2-input Positive-NOR Gate"
"U27_Buck_Boost1","SN74AHC1G02","BottomLayer","SC-70-5","22.150","15.400","180","Single 2-input Positive-NOR Gate"
"U25_Buck_Boost2","LMV761","BottomLayer","SOT23-6L","22.000","24.600","90","Low-Voltage, Precision Comparator With Push-Pull Output and Shutdown"
"U25_Buck_Boost1","LMV761","BottomLayer","SOT23-6L","22.000","11.850","90","Low-Voltage, Precision Comparator With Push-Pull Output and Shutdown"
"U23_Buck_Boost2","SN74AHC1G08","BottomLayer","SC-70-5","30.500","28.500","270","Single 2.Input Positive-AND Gate"
"U23_Buck_Boost1","SN74AHC1G08","BottomLayer","SC-70-5","30.500","15.750","270","Single 2.Input Positive-AND Gate"
"U16_Buck_Boost2","SN74AHC1G08","BottomLayer","SC-70-5","30.000","25.300","360","Single 2.Input Positive-AND Gate"
"U16_Buck_Boost1","SN74AHC1G08","BottomLayer","SC-70-5","30.000","12.550","360","Single 2.Input Positive-AND Gate"
"U11_Buck_Boost2","SN74LVC2G14","BottomLayer","SC-70-6","27.150","36.250","180","Dual Schmitt-Trigger Inverter 1.65V - 5.5V"
"U11_Buck_Boost1","SN74LVC2G14","BottomLayer","SC-70-6","27.150","7.250","180","Dual Schmitt-Trigger Inverter 1.65V - 5.5V"
"U10_Buck_Boost2","SN74AHC1G02","BottomLayer","SC-70-5","22.150","36.250","180","Single 2-input Positive-NOR Gate"
"U10_Buck_Boost1","SN74AHC1G02","BottomLayer","SC-70-5","22.150","7.250","180","Single 2-input Positive-NOR Gate"
"U7_Buck_Boost2","UCC27526","BottomLayer","DFN8-3x3","16.900","36.600","180","Dual 5-A High-Speed, Low-Side Gate Driver"
"U7_Buck_Boost1","UCC27526","BottomLayer","DFN8-3x3","16.900","7.600","180","Dual 5-A High-Speed, Low-Side Gate Driver"
"U5_Buck_Boost2","LMV761","BottomLayer","SOT23-6L","22.000","32.700","90","Low-Voltage, Precision Comparator With Push-Pull Output and Shutdown"
"U5_Buck_Boost1","LMV761","BottomLayer","SOT23-6L","22.000","3.700","90","Low-Voltage, Precision Comparator With Push-Pull Output and Shutdown"
"U3_Buck_Boost2","SN74AHC1G08","BottomLayer","SC-70-5","30.500","36.600","270","Single 2.Input Positive-AND Gate"
"U3_Buck_Boost1","SN74AHC1G08","BottomLayer","SC-70-5","30.500","7.600","270","Single 2.Input Positive-AND Gate"
"U1_Buck_Boost2","SN74AHC1G08","BottomLayer","SC-70-5","30.000","33.400","360","Single 2.Input Positive-AND Gate"
"U1_Buck_Boost1","SN74AHC1G08","BottomLayer","SC-70-5","30.000","4.400","360","Single 2.Input Positive-AND Gate"
"T11_GC2","BC847B","BottomLayer","SOT416","48.250","32.500","180","45V, 100mA NPN general-purpose transistor"
"T11_GC1","BC847B","BottomLayer","SOT416","48.250","6.500","360","45V, 100mA NPN general-purpose transistor"
"T10_GC2","BC857B","BottomLayer","SOT416","52.000","28.000","90","-45V, -100mA, PNP general purpose transistor"
"T10_GC1","BC857B","BottomLayer","SOT416","52.000","12.000","270","-45V, -100mA, PNP general purpose transistor"
"T9_GC2","CSD18541F5","BottomLayer","PICOSTAR_3pin","50.250","36.500","360","CSD18541F5 60-V N-Channel FemtoFET™ MOSFET"
"T9_GC1","CSD18541F5","BottomLayer","PICOSTAR_3pin","50.250","3.250","180","CSD18541F5 60-V N-Channel FemtoFET™ MOSFET"
"T8_GC2","BC847B","BottomLayer","SOT416","54.250","28.000","90","45V, 100mA NPN general-purpose transistor"
"T8_GC1","BC847B","BottomLayer","SOT416","54.250","12.000","270","45V, 100mA NPN general-purpose transistor"
"T7_GC2","BCV46","BottomLayer","SOT-23-TT3_L","53.000","32.750","90","PNP Darlington transistor, -60V, 500mA"
"T7_GC1","BCV46","BottomLayer","SOT-23-TT3_L","53.000","7.250","270","PNP Darlington transistor, -60V, 500mA"
"T6_Buck_Boost2","BC857B","BottomLayer","SOT416","38.000","23.100","90","-45V, -100mA, PNP general purpose transistor"
"T6_Buck_Boost1","BC857B","BottomLayer","SOT416","38.050","10.950","90","-45V, -100mA, PNP general purpose transistor"
"T5_Buck_Boost2","BC847B","BottomLayer","SOT416","35.800","23.100","270","45V, 100mA NPN general-purpose transistor"
"T5_Buck_Boost1","BC847B","BottomLayer","SOT416","35.750","10.950","270","45V, 100mA NPN general-purpose transistor"
"T4_Buck_Boost2","BC847B","BottomLayer","SOT416","35.800","25.600","270","45V, 100mA NPN general-purpose transistor"
"T4_Buck_Boost1","BC847B","BottomLayer","SOT416","35.750","13.550","270","45V, 100mA NPN general-purpose transistor"
"T3_Buck_Boost2","BC857B","BottomLayer","SOT416","38.000","31.500","90","-45V, -100mA, PNP general purpose transistor"
"T3_Buck_Boost1","BC857B","BottomLayer","SOT416","38.000","2.600","90","-45V, -100mA, PNP general purpose transistor"
"T2_Buck_Boost2","BC847B","BottomLayer","SOT416","35.800","31.500","270","45V, 100mA NPN general-purpose transistor"
"T2_Buck_Boost1","BC847B","BottomLayer","SOT416","35.800","2.600","270","45V, 100mA NPN general-purpose transistor"
"T1_Buck_Boost2","BC847B","BottomLayer","SOT416","35.800","34.000","270","45V, 100mA NPN general-purpose transistor"
"T1_Buck_Boost1","BC847B","BottomLayer","SOT416","35.800","5.100","270","45V, 100mA NPN general-purpose transistor"
"R94_Buck_Boost2","1k","BottomLayer","RESC0402(1005)_N","33.200","24.650","360","RES SMD 1K OHM 1% 1/16W 0402"
"R94_Buck_Boost1","1k","BottomLayer","RESC0402(1005)_N","33.250","12.250","360","RES SMD 1K OHM 1% 1/16W 0402"
"R93_Buck_Boost2","10k","BottomLayer","RESC0402(1005)_N","33.200","26.150","180","RES SMD 10K OHM 1% 1/16W 0402"
"R93_Buck_Boost1","10k","BottomLayer","RESC0402(1005)_N","33.250","13.750","180","RES SMD 10K OHM 1% 1/16W 0402"
"R92_Buck_Boost2","1k","BottomLayer","RESC0402(1005)_N","33.200","32.750","360","RES SMD 1K OHM 1% 1/16W 0402"
"R92_Buck_Boost1","1k","BottomLayer","RESC0402(1005)_N","33.200","3.750","360","RES SMD 1K OHM 1% 1/16W 0402"
"R91_Buck_Boost2","10k","BottomLayer","RESC0402(1005)_N","33.200","34.250","180","RES SMD 10K OHM 1% 1/16W 0402"
